series_name,gsi,user_id,created_at,episode_id,season_number,episode_number,s_id,key,ep_id,updated_at,total_movies_runtime,movie_watch_count,ep_watch_count,total_series_runtime,series_follow_count,most_recent_ep_watched,is_archived,is_followed,uuid,is_for_later,followed_at,ep_no,s_no,rewatch_count,is_unitary,runtime,bulk_type
From,,42659028,2022-06-05 08:23:16,,,,401003,user-series-643dde38-b90f-4c29-b4a8-785db05a627e,,2022-06-05 08:23:27,,,10,,,map[ep_id:8.80829e+06 ep_no:10 s_no:1 uuid:c7895a40-8adb-481b-9048-81e695976f3a watch_date:1.654428207952557e+15],false,true,643dde38-b90f-4c29-b4a8-785db05a627e,false,1654428196675459,,,,,,
Prison Break,,42659028,2021-01-03 09:12:11,,,,75340,user-series-6b40cc88-e173-4f83-85a1-6128229fbbc7,,2021-01-03 09:12:11,,,0,,,,false,true,6b40cc88-e173-4f83-85a1-6128229fbbc7,false,,,,,,,
Scorpion,,42659028,2020-07-26 07:23:44,,,,281630,user-series-6b85513d-82bc-4148-b59b-8f97f6a5be2b,,2020-07-26 07:23:44,,,71,,,map[ep_id:6.052612e+06 ep_no:25 s_no:3 uuid:e201fae4-6944-41f9-92bf-34109a51133a watch_date:1.595759031e+15],false,true,6b85513d-82bc-4148-b59b-8f97f6a5be2b,false,,,,,,,
A Teacher,,42659028,2021-05-19 16:03:54,,,,352440,user-series-73d268e4-5108-4bef-8c58-4e016b124a6f,,2021-05-19 16:03:54,,,10,,,map[ep_id:8.064491e+06 ep_no:10 s_no:1 uuid:d2c4214f-a9dd-4197-b200-5d28acd269d3 watch_date:1.621451038e+15],false,true,73d268e4-5108-4bef-8c58-4e016b124a6f,false,,,,,,,
Narcos,,42659028,2020-10-04 04:17:19,,,,282670,user-series-7ba1c59c-0c1e-413f-a498-0c8022e2a632,,2020-10-04 04:17:19,,,,,,,false,true,7ba1c59c-0c1e-413f-a498-0c8022e2a632,false,,,,,,,
Chernobyl,,42659028,2020-07-26 07:11:08,,,,360893,user-series-7bbcdd21-d0a3-40fe-b5f1-480f6648e983,,2020-07-26 07:11:08,,,5,,,map[ep_id:7.116987e+06 ep_no:5 s_no:1 uuid:368e8004-b050-4452-9f11-279250fb94a8 watch_date:1.595758269e+15],false,true,7bbcdd21-d0a3-40fe-b5f1-480f6648e983,false,,,,,,,
Sherlock,,42659028,2020-07-26 07:37:29,,,,176941,user-series-7fe6b72d-9a62-475d-b11a-e68729f11a5f,,2020-07-26 07:37:29,,,13,,,map[ep_id:5.866007e+06 ep_no:3 s_no:4 uuid:112a32e0-311e-4717-80d2-1e5d33ce62f4 watch_date:1.595759851e+15],false,true,7fe6b72d-9a62-475d-b11a-e68729f11a5f,false,,,,,,,
Nikita,,42659028,2020-07-26 07:37:06,,,,164301,user-series-861a9f82-c1f1-45d8-90b1-0391eb616029,,2020-07-26 07:37:06,,,45,,,map[ep_id:4.296313e+06 ep_no:23 s_no:2 uuid:90bde459-9486-49e0-b812-c4bc9a2c96ea watch_date:1.595759827e+15],false,true,861a9f82-c1f1-45d8-90b1-0391eb616029,false,,,,,,,
Wayward Pines,,42659028,2020-07-26 07:29:01,,,,269750,user-series-877ec92a-cc4f-4029-8a1f-be63bf2bdc0f,,2020-07-26 07:29:01,,,20,,,map[ep_id:5.663263e+06 ep_no:10 s_no:2 uuid:8ec80830-e711-4719-bb31-faa1d92bc5f2 watch_date:1.59575934e+15],false,true,877ec92a-cc4f-4029-8a1f-be63bf2bdc0f,false,,,,,,,
The Boss Baby: Back in Business,,42659028,2021-07-31 02:15:31,,,,342858,user-series-93d4babd-7b68-4d17-99e4-794eb8f4ca69,,2021-07-31 02:15:31,,,,,,,false,true,93d4babd-7b68-4d17-99e4-794eb8f4ca69,false,,,,,,,
The Rain,,42659028,2020-12-08 02:39:09,,,,341704,user-series-96acfbc5-6f9f-4238-8098-71c95d8516de,,2020-12-08 02:39:09,,,8,,,map[ep_id:6.631645e+06 ep_no:8 s_no:1 uuid:10d001e1-ad62-4c63-8d6f-c75ce833f4a3 watch_date:1.607405962e+15],false,true,96acfbc5-6f9f-4238-8098-71c95d8516de,false,,,,,,,
SIX,,42659028,2020-07-26 07:24:45,,,,311809,user-series-9783d5ad-c232-4f0d-bfaa-b5005f8189f7,,2020-07-26 07:24:45,,,6,,,map[ep_id:5.650996e+06 ep_no:6 s_no:1 uuid:d124ba9a-5dea-4726-9f9b-e356a20b524b watch_date:1.595759119e+15],false,true,9783d5ad-c232-4f0d-bfaa-b5005f8189f7,false,,,,,,,
The Queen's Gambit,,42659028,2020-12-15 08:26:20,,,,387115,user-series-97de6aae-4c86-4123-a795-ffb40d1ad79d,,2020-12-15 08:26:20,,,,,,,false,true,97de6aae-4c86-4123-a795-ffb40d1ad79d,false,,,,,,,
Moon Knight,,42659028,2022-10-28 18:41:22,,,,368611,user-series-9f1e4fe3-d37d-4ab6-9795-07a449a31e80,,2022-10-28 18:41:22,,,0,,,,false,true,9f1e4fe3-d37d-4ab6-9795-07a449a31e80,false,1666993282917260,,,,,,
Behind Her Eyes,,42659028,2022-02-13 04:26:02,,,,380991,user-series-9f5a0e74-b0c9-4136-8d47-ae8178352c10,,2022-02-13 04:26:02,,,6,,,map[ep_id:8.149183e+06 ep_no:6 s_no:1 uuid:3f1841f7-dda9-4f29-ac84-886ed861dea6 watch_date:1.644737162461849e+15],false,true,9f5a0e74-b0c9-4136-8d47-ae8178352c10,false,1644737162386546,,,,,,
Mrs. Fletcher,,42659028,2020-07-26 07:14:43,,,,366195,user-series-a12147aa-3c95-46f5-98a4-c506b066af38,,2020-07-26 07:14:43,,,7,,,map[ep_id:7.362292e+06 ep_no:7 s_no:1 uuid:e970b00f-52ac-4801-a6e2-4c85d2f35a3f watch_date:1.637722971e+15],false,true,a12147aa-3c95-46f5-98a4-c506b066af38,false,,,,,,,
Hawkeye (2021),,42659028,2022-07-07 01:41:40,,,,367146,user-series-a831bd89-5134-4aa3-9029-d3ea6c60d45c,,2022-07-08 01:04:19,,,6,,,map[ep_id:8.588195e+06 ep_no:6 first_air_date:2021-12-22T00:00:00Z is_special:false s_no:1 uuid:89522174-1b16-417c-a965-a4e51a27b693 watch_date:1.657253059228207e+15],false,true,a831bd89-5134-4aa3-9029-d3ea6c60d45c,false,1657168900884113,,,,,,
Loki,,42659028,2022-05-08 13:06:59,,,,362472,user-series-af280c0c-d199-4e2c-8122-9df6a5c8a38f,,2022-05-08 13:06:59,,,6,,,map[ep_id:8.45252e+06 ep_no:6 s_no:1 uuid:03d788bf-d5e8-496f-993f-f5406caff483 watch_date:1.652026019603885e+15],false,true,af280c0c-d199-4e2c-8122-9df6a5c8a38f,false,1652026019530109,,,,,,
The Innocent,,42659028,2021-06-07 03:04:57,,,,388477,user-series-afcf83d6-21f2-4df4-9e68-835fa3b87ab1,,2021-06-07 03:04:57,,,8,,,map[ep_id:8.257637e+06 ep_no:8 s_no:1 uuid:e65df338-59ba-4b6d-94ca-d1280426193c watch_date:1.627708194e+15],false,true,afcf83d6-21f2-4df4-9e68-835fa3b87ab1,false,,,,,,,
Supernatural,,42659028,2020-07-26 07:38:24,,,,78901,user-series-b0098a5b-d3df-4bb1-8644-75b2b6e48bfe,,2020-07-26 07:38:24,,,22,,,map[ep_id:306319 ep_no:22 s_no:1 uuid:3b828b4f-a40e-4bf4-aff3-bae806a59d31 watch_date:1.595759904e+15],false,true,b0098a5b-d3df-4bb1-8644-75b2b6e48bfe,false,,,,,,,
The Good Doctor,,42659028,2021-04-02 19:37:57,,,,328634,user-series-b55e87ce-75ff-4129-bab1-b4cf2fd9bf4c,,2021-04-02 19:37:57,,,,,,,false,true,b55e87ce-75ff-4129-bab1-b4cf2fd9bf4c,false,,,,,,,
,,42659028,2020-10-25 04:43:22,,,,362299,user-series-b687b732-d96e-491e-9bc6-b93ea49b2843,,2022-07-08 07:04:57,,,23,,,map[ep_id:7.149044e+06 ep_no:11 first_air_date:2019-07-04T00:00:00Z is_special:false s_no:3 uuid:643b59cc-d714-4220-849d-fc58f1dfdc5f watch_date:1.657274697426847e+15],false,true,b687b732-d96e-491e-9bc6-b93ea49b2843,false,,,,,,,
Beowulf: Return to the Shieldlands,,42659028,2020-07-26 07:20:15,,,,301347,user-series-ba90664b-e3d5-4fd7-85b4-e588cd3f67da,,2020-07-26 07:20:15,,,12,,,map[ep_id:5.495135e+06 ep_no:12 s_no:1 uuid:5aaee8c5-9e5c-486d-a737-96b33721d981 watch_date:1.595758815e+15],false,true,ba90664b-e3d5-4fd7-85b4-e588cd3f67da,false,,,,,,,
Euphoria (US),,42659028,2021-06-07 03:05:23,,,,360261,user-series-bccb4efc-6c1f-4af3-849d-9b303c0426c4,,2021-06-07 03:05:23,,,10,,,map[ep_id:7.241233e+06 ep_no:8 s_no:1 uuid:54fa4ee2-2afc-4c24-809a-4cd2e513416f watch_date:1.623045941e+15],false,true,bccb4efc-6c1f-4af3-849d-9b303c0426c4,false,,,,,,,
Breaking Bad,,42659028,2020-07-26 07:11:08,,,,81189,user-series-c08cb30d-fe12-49ad-9820-903d2fc34520,,2020-07-26 07:11:08,,,62,,,map[ep_id:4.553042e+06 ep_no:16 s_no:5 uuid:73f52e63-23eb-4e14-9dac-2a33502539b0 watch_date:1.595758268e+15],false,true,c08cb30d-fe12-49ad-9820-903d2fc34520,false,,,,,,,
Dark,,42659028,2020-07-26 07:29:28,,,,334824,user-series-ca0835d1-1a5d-42cf-b1ec-a1c34df093dd,,2020-07-26 07:29:28,,,,,,,false,true,ca0835d1-1a5d-42cf-b1ec-a1c34df093dd,false,,,,,,,
Lost,,42659028,2020-07-26 07:22:07,,,,73739,user-series-cfbafe5d-3a90-4c27-975d-82b2b6cd9b4a,,2020-07-26 07:22:07,,,48,,,map[ep_id:323553 ep_no:24 s_no:2 uuid:962cc163-51a5-4050-bf4f-a3daecab059d watch_date:1.595758928e+15],false,true,cfbafe5d-3a90-4c27-975d-82b2b6cd9b4a,false,,,,,,,
Better Call Saul,,42659028,2021-03-03 15:31:50,,,,273181,user-series-d025bcff-3615-4bc2-bce1-1825b67b9a60,,2021-03-03 15:31:50,,,,,,,false,true,d025bcff-3615-4bc2-bce1-1825b67b9a60,false,,,,,,,
Marvel's Daredevil,,42659028,2020-07-26 07:22:58,,,,281662,user-series-d350df9d-558c-4a30-9a90-ace413bf952a,,2020-07-26 07:22:58,,,26,,,map[ep_id:5.4713e+06 ep_no:13 s_no:2 uuid:52cd6933-0a3c-4f79-81b9-7313df76ff86 watch_date:1.595758978e+15],false,true,d350df9d-558c-4a30-9a90-ace413bf952a,false,,,,,,,
The Tomorrow People (US),,42659028,2020-07-26 07:28:32,,,,268591,user-series-d3e68001-fe04-4dab-a72d-2bd0b1717e89,,2020-07-26 07:28:32,,,22,,,map[ep_id:4.840109e+06 ep_no:22 s_no:1 uuid:8fe84165-8cd7-46b7-a19a-a4d99f739c19 watch_date:1.595759312e+15],false,true,d3e68001-fe04-4dab-a72d-2bd0b1717e89,false,,,,,,,
Scooby-Doo! Mystery Incorporated,,42659028,2022-03-09 23:46:59,,,,174681,user-series-d9f17ab6-dd35-4764-8a62-0a4c07af1be4,,2022-03-09 23:48:24,,,52,,,map[ep_id:4.493835e+06 ep_no:26 s_no:2 uuid:59af1e7e-5f16-40c0-9e87-237ea1ffa78d watch_date:1.646880504344442e+15],false,true,d9f17ab6-dd35-4764-8a62-0a4c07af1be4,false,1646880419308637,,,,,,
The Shannara Chronicles,,42659028,2020-07-26 07:27:59,,,,289096,user-series-dadf7951-9900-429e-bca3-bf6e0b8d351b,,2020-07-26 07:27:59,,,20,,,map[ep_id:6.389798e+06 ep_no:10 s_no:2 uuid:915faf54-746a-4872-bde0-054973dd82c2 watch_date:1.595759281e+15],false,true,dadf7951-9900-429e-bca3-bf6e0b8d351b,false,,,,,,,
Strike Back,,42659028,2020-07-26 07:25:58,,,,148581,user-series-dc5bd91f-0ccf-40f1-bc29-04f07ecfa95a,,2020-07-26 07:25:58,,,,,,,false,true,dc5bd91f-0ccf-40f1-bc29-04f07ecfa95a,false,,,,,,,
Prehistoric Planet (2022),,42659028,2022-08-30 09:27:59,,,,418505,user-series-ddcb435d-cc56-464e-aaed-eb26b093195f,,2022-08-30 09:27:59,,,0,,,,false,true,ddcb435d-cc56-464e-aaed-eb26b093195f,false,1661862479243982,,,,,,
